name,average_user_rating,num_user_ratings,min_players,max_players,min_playtime,max_playtime,price_au,price_ca,price_uk
Maracaibo,4.29787234042553,47.0,1.0,4.0,45.0,150.0,99.99,73.95,51.29
Scrabble,2.854625550660793,227.0,2.0,4.0,90.0,90.0,0.00,19.93,13.49
Quadropolis,3.496680504033444,148.0,2.0,4.0,30.0,60.0,64.99,123.99,0.00
Hansa Teutonica,3.8062809917355382,121.0,2.0,5.0,60.0,72.0,0.00,278.43,28.00
Western Legends,3.7796234772978963,84.0,2.0,6.0,60.0,90.0,69.99,91.19,41.29
Coloretto,3.341685144124168,164.0,3.0,5.0,30.0,48.0,21.99,14.95,12.76
Flash Point Fire Rescue: 2nd Story Expansion Pack,3.826086956521739,23.0,1.0,6.0,45.0,60.0,21.99,13.89,12.49
Oh My Goods!,3.409981343283582,134.0,2.0,4.0,30.0,45.0,0.00,17.95,10.39
Between Two Cities,3.35078452695355,157.0,1.0,7.0,30.0,45.0,49.99,31.95,25.85
Dune,4.300000000000001,30.0,2.0,6.0,120.0,180.0,69.99,46.95,28.79
KeyForge: Call of the Archons,3.500000000000001,134.0,2.0,2.0,15.0,45.0,0.00,63.38,33.11
Dominion: Seaside,3.8983957219251337,121.0,2.0,4.0,20.0,30.0,64.99,37.95,35.99
Point Salad,3.7244897959183674,98.0,2.0,6.0,15.0,30.0,29.99,17.95,14.79
Evolution: Climate,3.7352941176470575,102.0,2.0,6.0,60.0,75.0,0.00,59.95,0.00
"Hey, That's My Fish!",3.1554404145077717,193.0,2.0,4.0,18.0,24.0,0.00,7.49,10.29
Dominion: Prosperity,3.9313016528925617,121.0,2.0,4.0,30.0,45.0,0.00,38.95,0.00
Formula D,3.244186046511627,172.0,2.0,10.0,60.0,90.0,41.99,80.34,28.99
Agricola: All Creatures Big and Small,3.5078661327231124,152.0,2.0,2.0,30.0,30.0,0.00,0.00,0.00
7 Wonders Duel: Pantheon,3.980424337567195,98.0,2.0,2.0,30.0,45.0,35.99,29.99,12.79
Saboteur,3.0572916666666665,192.0,3.0,10.0,30.0,45.0,15.99,10.95,8.75
Ticket To Ride: USA 1910 Expansion,3.971290545203589,115.0,2.0,5.0,30.0,60.0,31.99,40.66,12.21
Railroad Ink: Deep Blue Edition,3.8617021276595733,94.0,1.0,6.0,20.0,30.0,27.99,31.64,16.95
Dixit: Memories,3.8097826086956523,23.0,3.0,6.0,30.0,36.0,43.99,25.95,0.00
Kingsburg,3.415458141067898,164.0,2.0,5.0,90.0,90.0,79.99,59.95,50.49
Blood Rage: Gods of Ásgard,3.851851851851852,27.0,2.0,4.0,60.0,90.0,29.99,0.00,15.35
King of Tokyo: Power Up,3.733462615815558,119.0,2.0,6.0,30.0,45.0,27.99,17.95,11.49
ICECOOL,3.421052631578946,133.0,2.0,4.0,20.0,30.0,31.99,33.95,19.99
Disney Villainous,3.562790697674418,129.0,2.0,6.0,50.0,50.0,77.99,39.95,30.79
Mission: Red Planet (Second Edition),3.6237500000000002,128.0,2.0,6.0,45.0,90.0,79.99,137.68,36.29
Carcassonne: Expansion 2 - Traders & Builders,3.706330128205127,128.0,2.0,6.0,60.0,75.0,27.99,43.67,14.39
Coimbra,3.7248488180318864,107.0,2.0,4.0,60.0,90.0,91.99,58.95,33.11
Gizmos,3.762376237623761,101.0,2.0,4.0,40.0,50.0,57.99,42.49,27.99
Xia: Legends of a Drift System,3.787878787878788,99.0,3.0,5.0,120.0,180.0,0.00,545.02,0.00
Castle Panic,3.1547619047619024,180.0,1.0,6.0,60.0,75.0,37.99,32.95,25.06
One Deck Dungeon,3.364448051948052,132.0,1.0,2.0,30.0,45.0,32.99,22.95,18.79
Legendary Encounters: An Alien Deck Building Game,3.745762711864407,118.0,1.0,5.0,30.0,30.0,62.99,69.95,32.29
7 Wonders: Leaders,3.7584745762711864,118.0,2.0,7.0,36.0,42.0,44.99,33.95,17.85
Cryptid,3.7684830633284245,97.0,3.0,5.0,30.0,50.0,0.00,37.95,19.99
Tikal,3.5844988344988358,132.0,2.0,4.0,90.0,120.0,0.00,38.95,37.82
Guillotine,3.073298429319372,191.0,2.0,5.0,30.0,45.0,17.99,15.95,0.00
Lanterns: The Harvest Festival,3.384876020329586,151.0,2.0,4.0,30.0,45.0,47.99,31.95,25.99
